"LongTable-checkbox","lineage1","lineage2","lineage3","depmapId","displayName"
"false","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000934","MDAMB361"
"false","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000876","MDAMB415"
"false","Skin","Melanoma","Melanoma","ACH-000884","MDAMB435S"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Carcinoma, NOS","ACH-000573","MDAMB436"
"false","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000910","MDAMB453"
"false","Breast","Invasive Breast Carcinoma","Invasive Breast Carcinoma","ACH-000849","MDAMB468"
"false","Prostate","Prostate Adenocarcinoma","Prostate Adenocarcinoma","ACH-000952","MDAPCA2B"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000935","MDST8"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000439","ME1"
"false","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001359","ME180"
"false","Lymphoid","Mature B-Cell Neoplasms","Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma","ACH-000405","MEC1"
"false","Lymphoid","Mature B-Cell Neoplasms","Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma","ACH-001121","MEC2"
"false","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","ACH-000072","MEG01"
"false","Eye","Ocular Melanoma","Uveal Melanoma","ACH-001554","MEL202"
"false","Eye","Ocular Melanoma","Uveal Melanoma","ACH-002014","MEL270"
"false","Eye","Ocular Melanoma","Uveal Melanoma","ACH-002015","MEL285"
"false","Eye","Ocular Melanoma","Uveal Melanoma","ACH-002016","MEL290"
"false","Skin","Melanoma","Melanoma","ACH-000450","MELHO"
"false","Skin","Melanoma","Cutaneous Melanoma","ACH-000881","MELJUSO"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-001555","MERO14"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Biphasic Type","ACH-001556","MERO25"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-001557","MERO41"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Biphasic Type","ACH-001558","MERO48A"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-001559","MERO82"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Biphasic Type","ACH-001560","MERO83"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Biphasic Type","ACH-001561","MERO84"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-001562","MERO95"
"false","Ovary/Fallopian Tube","Ovarian Epithelial Tumor","Serous Ovarian Cancer","ACH-002486","MESOV"
"false","Uterus","Uterine Sarcoma/Mesenchymal","Uterine Sarcoma/Mesenchymal","ACH-000449","MESSA"
"false","Skin","Melanoma","Melanoma","ACH-002388","MET2B"
"false","Skin","Melanoma","Cutaneous Melanoma","ACH-000987","MEWO"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000192","MFE280"
"false","Uterus","Endometrial Carcinoma","Endometrial Carcinoma","ACH-000879","MFE296"
"false","Uterus","Endometrial Carcinoma","Uterine Adenosquamous Carcinoma","ACH-000988","MFE319"
"false","Soft Tissue","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","ACH-002271","MFHINO"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Ductal Carcinoma","ACH-001819","MFM223"
"false","Bone","Osteosarcoma","Osteosarcoma","ACH-000359","MG63"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-000020","MHHCALL2"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-000032","MHHCALL3"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-000156","MHHCALL4"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-000391","MHHES1"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000078","MHHNB11"
"false","Lymphoid","Non-Hodgkin Lymphoma","Mature B-Cell Neoplasms","ACH-002272","MHHPREB1"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-000601","MIAPACA2"
"false","Lymphoid","Mature B-Cell Neoplasms","Mantle Cell Lymphoma","ACH-000220","MINO"
"false","Lymphoid","Non-Hodgkin Lymphoma","Mature T and NK Neoplasms","ACH-000077","MJ"
"false","Skin","Merkel Cell Carcinoma","Merkel Cell Carcinoma","ACH-001122","MKL1"
"false","Skin","Merkel Cell Carcinoma","Merkel Cell Carcinoma","ACH-001123","MKL2"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Adenosquamous Carcinoma of the Stomach","ACH-000351","MKN1"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Tubular Stomach Adenocarcinoma","ACH-002161","MKN28"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Diffuse Type Stomach Adenocarcinoma","ACH-000356","MKN45"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Tubular Stomach Adenocarcinoma","ACH-000678","MKN7"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Tubular Stomach Adenocarcinoma","ACH-000758","MKN74"
"false","Thyroid","Well-Differentiated Thyroid Cancer","Follicular Thyroid Cancer","ACH-000058","ML1"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-002273","ML2"
"false","Lymphoid","Mature B-Cell Neoplasms","Hairy Cell Leukemia","ACH-002274","MLMA"
"false","Skin","Melanoma","Acral Melanoma","ACH-002928","MM100511"
"false","Skin","Melanoma","Melanoma","ACH-001563","MM127"
"false","Skin","Melanoma","Acral Melanoma","ACH-002512","MM160113"
"false","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","ACH-000763","MM1S"
"false","Skin","Melanoma","Melanoma","ACH-001970","MM253"
"false","Skin","Melanoma","Melanoma","ACH-001566","MM370"
"false","Skin","Melanoma","Melanoma","ACH-001567","MM383"
"false","Skin","Melanoma","Melanoma","ACH-001568","MM386"
"false","Skin","Melanoma","Melanoma","ACH-001569","MM415"
"false","Skin","Melanoma","Melanoma","ACH-001570","MM426"
"false","Skin","Melanoma","Melanoma","ACH-001971","MM466"
"false","Skin","Melanoma","Melanoma","ACH-001972","MM473"
"false","Skin","Melanoma","Melanoma","ACH-001973","MM485"
"false","Skin","Melanoma","Melanoma","ACH-001975","MM576"
"false","Skin","Melanoma","Melanoma","ACH-002084","MMAC"
"false","Skin","Melanoma","Melanoma","ACH-002162","MMACSF"
"false","Biliary Tract","Non-Cancerous","Immortalized Cholangiocyte, Highly Differentiated","ACH-001854","MMNK1"
"false","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","ACH-002275","MN60"
"false","CNS/Brain","Diffuse Glioma","Anaplastic Astrocytoma","ACH-001125","MOGGCCM"
"false","CNS/Brain","Diffuse Glioma","Anaplastic Astrocytoma","ACH-001126","MOGGUVW"
"false","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","ACH-001573","MOLM1"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000362","MOLM13"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-001574","MOLM14"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000369","MOLM16"
"false","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","ACH-000321","MOLM6"
"false","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","ACH-000453","MOLP2"
"false","Lymphoid","Mature B-Cell Neoplasms","Plasma Cell Myeloma","ACH-000745","MOLP8"
"false","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-000795","MOLT13"
"false","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-000918","MOLT16"
"false","Lymphoid","Mature T and NK Neoplasms","Adult T-Cell Leukemia/Lymphoma","ACH-000964","MOLT3"
"false","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-001127","MOLT4"
"false","Soft Tissue","Rhabdoid Cancer","Extrarenal Rhabdoid Cancer","ACH-001128","MON"
"false","Myeloid","Acute Myeloid Leukemia","Acute Monoblastic/Monocytic Leukemia","ACH-001129","MONOMAC1"
"false","Myeloid","Acute Myeloid Leukemia","Acute Monoblastic/Monocytic Leukemia","ACH-000006","MONOMAC6"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000851","MORCPR"
"false","Lymphoid","Mature B-Cell Neoplasms","Hairy Cell Leukemia","ACH-002339","MOT"
"false","Lymphoid","Mature T and NK Neoplasms","T-Cell Large Granular Lymphocytic Leukemia","ACH-001130","MOTN1"
"false","Eye","Ocular Melanoma","Uveal Melanoma","ACH-002010","MP41"
"false","Eye","Ocular Melanoma","Uveal Melanoma","ACH-002011","MP46"
"false","Peripheral Nervous System","Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","ACH-002710","MPNST724"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-000319","MPP89"
"false","Breast","Invasive Breast Carcinoma","Breast Invasive Lobular Carcinoma","ACH-002163","MRKNU1"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-001958","MS1"
"false","Cervix","Cervical Squamous Cell Carcinoma","Cervical Squamous Cell Carcinoma","ACH-001360","MS751"
"false","Skin","Merkel Cell Carcinoma","Merkel Cell Carcinoma","ACH-001131","MSDASH1"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Biphasic Type","ACH-000335","MSTO211H"
"false","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","Natural Killer (NK) Cell Lymphoblastic Leukemia/Lymphoma (NKCLL)","ACH-001132","MTA"
"false","Myeloid","Acute Myeloid Leukemia","AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM","ACH-000084","MUTZ3"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-000492","MUTZ5"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-001577","MUTZ8"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000045","MV411"
"false","Breast","Breast Neoplasm, NOS","Breast Neoplasm, NOS","ACH-002328","MX1"
"false","Lymphoid","T-Lymphoblastic Leukemia/Lymphoma","T-Lymphoblastic Leukemia/Lymphoma","ACH-001134","MYLA"
"false","Myeloid","Acute Leukemias of Ambiguous Lineage","Acute Leukemias of Ambiguous Lineage","ACH-002276","MYM12"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002360","MZ1B"
"false","Pancreas","Pancreatic Adenocarcinoma","Pancreatic Adenocarcinoma","ACH-002164","MZ1PC"
"false","Skin","Melanoma","Melanoma","ACH-002165","MZ2MEL"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002361","MZ7B"
"false","Skin","Melanoma","Melanoma","ACH-002166","MZ7MEL"
"false","Myeloid","Myeloproliferative Neoplasms","Chronic Myeloid Leukemia, BCR-ABL1+","ACH-000462","NALM1"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-001993","NALM16"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-000130","NALM19"
"false","Lymphoid","B-Lymphoblastic Leukemia/Lymphoma","B-Lymphoblastic Leukemia/Lymphoma","ACH-000938","NALM6"
"false","Lymphoid","Mature B-Cell Neoplasms","Burkitt Lymphoma","ACH-000944","NAMALWA"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-000804","NB1"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002278","NB10"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002279","NB12"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002280","NB13"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002281","NB14"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-001303","NB1643"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002282","NB17"
"false","Myeloid","Acute Myeloid Leukemia","Acute Myeloid Leukemia","ACH-000294","NB4"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002283","NB5"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002284","NB6"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002083","NB69"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002285","NB7"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002340","NBSUSSR"
"false","Peripheral Nervous System","Neuroblastoma","Neuroblastoma","ACH-002277","NBTU110"
"false","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-002167","NCC010"
"false","Kidney","Renal Cell Carcinoma","Renal Cell Carcinoma","ACH-002168","NCC021"
"false","Bone","Chondrosarcoma","Dedifferentiated Chondrosarcoma","ACH-002781","NCCDCS1C1"
"false","Bone","Ewing Sarcoma","Ewing Sarcoma","ACH-002780","NCCES1C1"
"false","Testis","Non-Seminomatous Germ Cell Tumor","Embryonal Carcinoma","ACH-001578","NCCIT"
"false","Soft Tissue","Leiomyosarcoma","Leiomyosarcoma","ACH-002785","NCCLMS1C1"
"false","Soft Tissue","Myxofibrosarcoma","Myxofibrosarcoma","ACH-002794","NCCMFS1C1"
"false","Peripheral Nervous System","Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","ACH-002799","NCCMPNST1C1"
"false","Peripheral Nervous System","Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","ACH-002800","NCCMPNST2C1"
"false","Peripheral Nervous System","Nerve Sheath Tumor","Malignant Peripheral Nerve Sheath Tumor","ACH-002801","NCCMPNST3C1"
"false","Soft Tissue","Rhabdomyosarcoma","Pleomorphic Rhabdomyosarcoma","ACH-002787","NCCPRMS1C1"
"false","Esophagus/Stomach","Esophagogastric Adenocarcinoma","Stomach Adenocarcinoma","ACH-000110","NCCSTCK140"
"false","Soft Tissue","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma","ACH-002784","NCCUPS2C1"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002362","NCIBL128"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002363","NCIBL1395"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002364","NCIBL1437"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002365","NCIBL1770"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002366","NCIBL2009"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002367","NCIBL2052"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002368","NCIBL2087"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002369","NCIBL209"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002370","NCIBL2122"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002371","NCIBL2126"
"false","Normal","Non-Cancerous","Matched Normal","ACH-002372","NCIBL2171"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000866","NCIH1048"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000514","NCIH1092"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000780","NCIH1105"
"false","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","ACH-000980","NCIH1155"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000523","NCIH1184"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-002286","NCIH128"
"false","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","ACH-000510","NCIH1299"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-002169","NCIH1304"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000129","NCIH1341"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000666","NCIH1355"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000845","NCIH1373"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000737","NCIH1385"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000327","NCIH1395"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-001591","NCIH1417"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000852","NCIH1435"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000830","NCIH1436"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000589","NCIH1437"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-003119","NCIH1450"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000506","NCIH146"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000892","NCIH1563"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000869","NCIH1568"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000916","NCIH1573"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000921","NCIH157DM"
"false","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","ACH-000015","NCIH1581"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-003120","NCIH1607"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000179","NCIH1618"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000744","NCIH1623"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000766","NCIH1648"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000035","NCIH1650"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000893","NCIH1651"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000448","NCIH1666"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-002170","NCIH1688"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000021","NCIH1693"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000431","NCIH1694"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000747","NCIH1703"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000675","NCIH1734"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000282","NCIH1755"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-001362","NCIH1770"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000379","NCIH1781"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000496","NCIH1792"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000888","NCIH1793"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000033","NCIH1819"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000559","NCIH1836"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000733","NCIH1838"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000894","NCIH1869"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-001136","NCIH187"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000586","NCIH1876"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-002490","NCIH1882"
"false","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","ACH-000434","NCIH1915"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000870","NCIH1930"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000414","NCIH1944"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000752","NCIH196"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000729","NCIH1963"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000587","NCIH1975"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-001137","NCIH1993"
"false","Kidney","Rhabdoid Cancer","Rhabdoid Cancer","ACH-000533","NCIH2004RT"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000886","NCIH2009"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000781","NCIH2023"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000298","NCIH2029"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000521","NCIH2030"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Sarcomatoid Type","ACH-000153","NCIH2052"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000727","NCIH2066"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000590","NCIH2073"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000394","NCIH2081"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000451","NCIH2085"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000841","NCIH2087"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000290","NCIH209"
"false","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","ACH-000904","NCIH2106"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000639","NCIH211"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000929","NCIH2110"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000311","NCIH2122"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000785","NCIH2126"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-001363","NCIH2135"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-001138","NCIH2141"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000481","NCIH2170"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000525","NCIH2171"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000924","NCIH2172"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000399","NCIH2196"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000610","NCIH2227"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000447","NCIH2228"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-000367","NCIH226"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000912","NCIH2286"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000718","NCIH2291"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000900","NCIH23"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000951","NCIH2342"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000875","NCIH2347"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000121","NCIH2405"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000186","NCIH2444"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Biphasic Type","ACH-000092","NCIH2452"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-002171","NCIH250"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-003121","NCIH2679"
"false","Pleura","Pleural Mesothelioma","Pleural Mesothelioma, Epithelioid Type","ACH-000648","NCIH28"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000700","NCIH2882"
"false","Lung","Non-Small Cell Lung Cancer","Non-Small Cell Lung Cancer","ACH-000251","NCIH2887"
"false","Lung","Non-Small Cell Lung Cancer","Mucoepidermoid Carcinoma of the Lung","ACH-001075","NCIH292"
"false","Adrenal Gland","Adrenocortical Carcinoma","Adrenocortical Carcinoma","ACH-001598","NCIH295R"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000337","NCIH3122"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000837","NCIH322"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-002172","NCIH322M"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000109","NCIH3255"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-001364","NCIH345"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000860","NCIH358"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-002173","NCIH378"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000638","NCIH441"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000800","NCIH446"
"false","Lung","Non-Small Cell Lung Cancer","Large Cell Lung Carcinoma","ACH-000463","NCIH460"
"false","Bowel","Colorectal Adenocarcinoma","Colon Adenocarcinoma","ACH-000360","NCIH508"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000871","NCIH510"
"false","Lung","Non-Small Cell Lung Cancer","Lung Squamous Cell Carcinoma","ACH-000395","NCIH520"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenocarcinoma","ACH-000343","NCIH522"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000816","NCIH524"
"false","Lung","Lung Neuroendocrine Tumor","Small Cell Lung Cancer","ACH-000767","NCIH526"
"false","Lung","Non-Small Cell Lung Cancer","Lung Adenosquamous Carcinoma","ACH-000628","NCIH596"
